Time,MATLAB_RPM_1,MATLAB_RPM_2
88.75,3569.84701341367,4303.1
88.76,3559.84332722649,4303.1
88.77,3549.70873379967,4303.1
88.78,3539.46648595321,3933.90000000052
88.79,3529.67582271567,3933.9
88.8,3519.77656276804,3933.9
88.81,3510.08897122672,3933.9
88.82,3500.70909643912,3933.9
88.83,3490.88511394043,3933.9
88.84,3480.63038468381,3933.9
88.85,3470.89651298699,3933.9
88.86,3461.53910793476,3933.9
88.87,3452.06991176757,3933.9
88.88,3442.89791828452,3781.80000000022
88.89,3432.62638249484,3781.8
88.9,3423.82934977456,3781.8
88.91,3414.30626423172,3781.8
88.92,3405.15570281127,3781.8
88.93,3395.98452023501,3781.8
88.94,3386.81804290771,3781.8
88.95,3377.36551756806,3781.8
88.96,3368.05470725741,3781.8
88.97,3358.69415615804,3781.8
88.98,3349.64642496156,3682.10000000014
88.99,3340.88818742433,3682.1
89,3331.87661744496,3682.1
89.01,3322.8112804474,3682.1
89.02,3313.82764207847,3682.1
89.03,3304.92438421949,3682.1
89.04,3296.55938942425,3682.1
89.05,3288.27381615198,3682.1
89.06,3279.69657505062,3682.1
89.07,3270.45971469904,3682.1
89.08,3261.63513880667,3385.00000000042
89.09,3253.37188563892,3385
89.1,3244.47485126978,3385
89.11,3236.60521516261,3385
89.12,3229.30549686927,3385
89.13,3222.12728676064,3385
89.14,3215.20646348333,3385
89.15,3208.72260157148,3385
89.16,3202.28614042535,3385
89.17,3195.27191568721,3385
89.18,3188.44893696732,3481.19999999973
89.19,3180.92449995994,3481.2
89.2,3173.30689384047,3481.2
89.21,3165.01357565822,3481.2
89.22,3157.70657409183,3481.2
89.23,3150.16550133732,3481.2
89.24,3142.32179250108,3481.2
89.25,3134.8497392417,3481.2
89.26,3127.41407385258,3481.2
89.27,3119.57821024063,3481.2
89.28,3111.84726524409,3396.60000000012
89.29,3104.44518218751,3396.6
89.3,3096.68428828,3396.6
89.31,3088.87620221917,3396.6
89.32,3081.39545062815,3396.6
89.33,3072.85816553833,3396.6
89.34,3066.13935682937,3396.6
89.35,3059.96962912428,3396.6
89.36,3052.49429456027,3396.6
89.37,3044.82915472437,3396.6
89.38,3037.97088449433,3313.20000000012
89.39,3030.7198829788,3313.2
89.4,3023.01422852949,3313.2
89.41,3015.85719536513,3313.2
89.42,3008.44583263033,3313.2
89.43,3001.348516618,3313.2
89.44,2994.75304838226,3313.2
89.45,2988.06429681485,3313.2
89.46,2981.02294263036,3313.2
89.47,2974.14789763137,3313.2
89.48,2967.22259501764,3324.49999999998
89.49,2959.29548486875,3324.5
89.5,2953.24256934633,3324.5
89.51,2947.21436377127,3324.5
89.52,2940.8444204661,3324.5
89.53,2934.04980989753,3324.5
89.54,2927.60751993929,3324.5
89.55,2920.03483405445,3324.5
89.56,2913.04630312359,3324.5
89.57,2906.75855295985,3324.5
89.58,2899.6789268099,3345.49999999997
89.59,2893.02637103349,3345.5
89.6,2885.97065409112,3345.5
89.61,2879.0294249374,3345.5
89.62,2872.65416017496,3345.5
89.63,2865.94267524053,3345.5
89.64,2859.31625016814,3345.5
89.65,2853.49339001143,3345.5
89.66,2846.44916752703,3345.5
89.67,2839.84273864253,3345.5
89.68,2832.44541054806,3345.2
89.69,2825.93461965988,3345.2
89.7,2819.20747489528,3345.2
89.71,2813.31062396882,3345.2
89.72,2806.81633747072,3345.2
89.73,2800.45180515394,3345.2
89.74,2793.36666867037,3345.2
89.75,2787.052019666,3345.2
89.76,2781.09824253308,3345.2
89.77,2774.51624078287,3345.2
89.78,2768.38415662876,3311.10000000005
89.79,2762.00326528225,3311.1
89.8,2755.76422714065,3311.1
89.81,2749.4882733243,3311.1
89.82,2743.79126090038,3311.1
89.83,2737.30785686446,3311.1
89.84,2731.30895740917,3311.1
89.85,2724.97292583109,3311.1
89.86,2719.17698530273,3311.1
89.87,2712.97616522445,3311.1
89.88,2706.80779027683,3291.40000000003
89.89,2700.74673280063,3291.4
89.9,2694.83845081492,3291.4
89.91,2689.15200388235,3291.4
89.92,2682.78185732777,3291.4
89.93,2677.01523243712,3291.4
89.94,2671.18458472873,3291.4
89.95,2665.42651088613,3291.4
89.96,2659.6491597343,3291.4
89.97,2654.01828463681,3291.4
89.98,2648.55335562988,3266.20000000004
89.99,2642.51635040545,3266.2
90,2636.67452296895,3266.2
90.01,2631.05896132646,3266.2
90.02,2625.50114553055,3266.2
90.03,2619.70397634369,3266.2
90.04,2614.04736823525,3266.2
90.05,2608.30363247607,3266.2
90.06,2602.92510103573,3266.2
90.07,2597.63868738273,3266.2
90.08,2592.4092905064,3260.20000000001
90.09,2587.02967189909,3260.2
90.1,2581.96606456586,3260.2
90.11,2576.64543934669,3260.2
90.12,2571.54653291605,3260.2
90.13,2566.48831110808,3260.2
90.14,2561.44829521466,3260.2
90.15,2556.44499559824,3260.2
90.16,2551.43401412612,3260.2
90.17,2546.31661513142,3260.2
90.18,2541.31843337494,3247.10000000004
90.19,2536.38420080982,3247.1
90.2,2531.46921667891,3247.1
90.21,2526.84253412293,3247.1
90.22,2522.28374381379,3247.1
90.23,2517.85911023936,3247.1
90.24,2513.54156149115,3247.1
90.25,2509.16310102059,3247.1
90.26,2505.08531928273,3247.1
90.27,2501.18372017565,3247.1
90.28,2497.06562930263,3251.19999999999
90.29,2493.41198327225,3251.2
90.3,2489.5875002807,3251.2
90.31,2486.18209629131,3251.2
90.32,2482.89082996119,3251.2
90.33,2479.09095918297,3251.2
90.34,2476.11059190631,3251.2
90.35,2472.79424330857,3251.2
90.36,2469.6685221261,3251.2
90.37,2466.3303043899,3251.2
90.38,2463.39158541877,3288.29999999995
90.39,2460.37860861866,3288.3
90.4,2457.6404100793,3288.3
90.41,2454.639867442,3288.3
90.42,2451.96952687764,3288.3
90.43,2449.10816686778,3288.3
90.44,2446.31109376043,3288.3
90.45,2443.72984185849,3288.3
90.46,2440.68346637597,3288.3
90.47,2437.78470604293,3288.3
90.48,2435.10214087584,3286.4
90.49,2432.34178981495,3286.4
90.5,2429.53885490182,3286.4
90.51,2426.68383857187,3286.4
90.52,2423.55759589286,3286.4
90.53,2420.88115977977,3286.4
90.54,2418.04982431453,3286.4
90.55,2415.24031735166,3286.4
90.56,2412.14987638938,3286.4
90.57,2409.20818463272,3286.4
90.58,2406.17737910151,3257.40000000004
90.59,2403.27725865679,3257.4
90.6,2400.1837053028,3257.4
90.61,2397.07548357884,3257.4
90.62,2393.74473949454,3257.4
90.63,2390.62806095723,3257.4
90.64,2387.64820787968,3257.4
90.65,2384.36825730145,3257.4
90.66,2380.8930321287,3257.4
90.67,2377.67192512494,3257.4
90.68,2374.27232094466,3255.00000000001
90.69,2370.76806633327,3255
90.7,2367.31684658996,3255
90.71,2364.12889201381,3255
90.72,2360.56050216501,3255
90.73,2357.08702703483,3255
90.74,2353.54104273703,3255
90.75,2349.93792610039,3255
90.76,2346.62312202634,3255
90.77,2343.03295759265,3255
90.78,2339.55257507189,3282.29999999996
90.79,2335.99028418188,3282.3
90.8,2332.33353801632,3282.3
90.81,2328.96467243619,3282.3
90.82,2325.39961298706,3282.3
90.83,2321.77125185129,3282.3
90.84,2318.07840895585,3282.3
90.85,2314.59311124383,3282.3
90.86,2311.04747705813,3282.3
90.87,2307.33337171364,3282.3
90.88,2303.69946954701,3275.80000000001
90.89,2300.26363502107,3275.8
90.9,2296.69075835641,3275.8
90.91,2293.19783773043,3275.8
90.92,2289.75447852644,3275.8
90.93,2286.03176876604,3275.8
90.94,2282.50817294548,3275.8
90.95,2278.97816445459,3275.8
90.96,2275.57975812089,3275.8
90.97,2271.9917018695,3275.8
90.98,2268.49045680364,3321.79999999993
90.99,2265.04197341899,3321.8
91,2261.6222688616,3321.8
91.01,2257.99984021497,3321.8
91.02,2254.55105120707,3321.8
91.03,2251.08172037327,3321.8
91.04,2247.59554694768,3321.8
91.05,2244.24387870928,3321.8
91.06,2240.89493583307,3321.8
91.07,2237.39473260674,3321.8
91.08,2233.94152200986,3324.9
91.09,2230.47468578647,3324.9
91.1,2227.07941543373,3324.9
91.11,2223.6726604409,3324.9
91.12,2220.57239966827,3324.9
91.13,2217.16831342476,3324.9
91.14,2213.70045561497,3324.9
91.15,2210.14986670884,3324.9
91.16,2206.75248355152,3324.9
91.17,2203.2104056264,3324.9
91.18,2199.86602576351,3302.80000000006
91.19,2196.40961169855,3302.8
91.2,2192.87384612746,3302.8
91.21,2189.48294978676,3302.8
91.22,2186.0900850311,3302.8
91.23,2182.71748353064,3302.8
91.24,2179.0236190518,3302.8
91.25,2175.82980725435,3302.8
91.26,2172.47219501484,3302.8
91.27,2169.01586431212,3302.8
91.28,2165.63433244802,3260.80000000006
91.29,2162.11106848553,3260.8
91.3,2158.72640118168,3260.8
91.31,2155.51526765699,3260.8
91.32,2152.34793652435,3260.8
91.33,2149.24649272888,3260.8
91.34,2146.05546921951,3260.8
91.35,2142.78371804292,3260.8
91.36,2139.68327821436,3260.8
91.37,2136.75309652103,3260.8
91.38,2133.76336069541,3279.89999999997
91.39,2131.13140443725,3279.9
91.4,2128.20067345842,3279.9
91.41,2125.44799074902,3279.9
91.42,2122.63359650799,3279.9
91.43,2119.98115257357,3279.9
91.44,2117.51656614684,3279.9
91.45,2115.22040732458,3279.9
91.46,2113.05783033029,3279.9
91.47,2110.84086167208,3279.9
91.48,2108.77764961269,3314.09999999995
91.49,2106.60669794582,3314.1
91.5,2104.90931700728,3314.1
91.51,2103.19839127398,3314.1
91.52,2101.2632459217,3314.1
91.53,2099.29882889585,3314.1
91.54,2096.93892763572,3314.1
91.55,2095.23377185131,3314.1
91.56,2093.09731187708,3314.1
91.57,2091.15861341024,3314.1
91.58,2089.07636476956,3281.50000000005
91.59,2087.31921391728,3281.5
91.6,2085.55864163181,3281.5
91.61,2083.77727024905,3281.5
91.62,2081.86863537024,3281.5
91.63,2079.95657904879,3281.5
91.64,2078.21464787521,3281.5
91.65,2076.53845855184,3281.5
91.66,2074.9353574158,3281.5
91.67,2073.12771173191,3281.5
91.68,2071.46750472228,3303.89999999994
91.69,2069.98907844051,3303.9
91.7,2068.49335660099,3303.9
91.71,2066.95492013732,3303.9
91.72,2066.07487793787,3303.9
91.73,2064.96429841484,3303.9
91.74,2064.11371463007,3303.9
91.75,2063.4172190097,3303.9
91.76,2062.82471841607,3303.9
91.77,2062.36485632695,3303.9
91.78,2062.02468610266,3329.99999999996
91.79,2061.86540886267,3330
91.8,2061.71028206923,3330
91.81,2061.32617020078,3330
91.82,2060.62160214421,3330
91.83,2059.83833015691,3330
91.84,2058.98644117545,3330
91.85,2058.22577968021,3330
91.86,2057.08561978004,3330
91.87,2055.94168250546,3330
91.88,2054.51240664372,3272.90000000008
91.89,2052.84207992948,3272.9
91.9,2051.21790662397,3272.9
91.91,2049.53360218141,3272.9
91.92,2048.0605446232,3272.9
91.93,2046.47499810349,3272.9
91.94,2044.85667329408,3272.9
91.95,2043.27433541135,3272.9
91.96,2041.66280181375,3272.9
91.97,2040.12617251213,3272.9
91.98,2038.51097769463,3239.00000000005
91.99,2037.07271130428,3239
92,2035.44829065527,3239
92.01,2033.72290075261,3239
92.02,2032.05588642414,3239
92.03,2030.73291323615,3239
92.04,2028.82960547951,3239
92.05,2027.26974399572,3239
92.06,2025.59752529157,3239
92.07,2023.84249033045,3239
92.08,2022.03314659918,3223.00000000002
92.09,2020.37417936167,3223
92.1,2018.79420881216,3223
92.11,2017.1828624908,3223
92.12,2015.56202868942,3223
92.13,2014.21600461252,3223
92.14,2012.82401651323,3223
92.15,2011.55406862008,3223
92.16,2010.32673520648,3223
92.17,2009.38801934081,3223
92.18,2008.50937828548,3225.89999999999
92.19,2007.57151254776,3225.9
92.2,2006.76925329889,3225.9
92.21,2005.82465142583,3225.9
92.22,2005.1518660325,3225.9
92.23,2004.34395457844,3225.9
92.24,2003.8104131362,3225.9
92.25,2003.08093483973,3225.9
92.26,2002.53196795129,3225.9
92.27,2002.11069013923,3225.9
92.28,2001.65079301141,3316.19999999987
92.29,2001.11518352546,3316.2
92.3,2000.74473312048,3316.2
92.31,2000.25798707586,3316.2
92.32,1999.85253769194,3316.2
92.33,1999.42928550595,3316.2
92.34,1998.94295481922,3316.2
92.35,1998.50156046042,3316.2
92.36,1998.07729136224,3316.2
92.37,1997.58880620307,3316.2
92.38,1997.18556675214,3294.20000000003
92.39,1996.60836074847,3294.2
92.4,1996.01470037818,3294.2
92.41,1995.65259652483,3294.2
92.42,1995.14488695019,3294.2
92.43,1994.76884909663,3294.2
92.44,1994.44687622317,3294.2
92.45,1993.95439337388,3294.2
92.46,1993.54873100652,3294.2
92.47,1993.23714253766,3294.2
92.48,1992.80918001875,3311.99999999997
92.49,1992.44588177843,3312
92.5,1992.05622820815,3312
92.51,1991.93147114647,3312
92.52,1991.6534277916,3312
92.53,1991.43430086914,3312
92.54,1991.25448539833,3312
92.55,1991.29274396284,3312
92.56,1991.13736894352,3312
92.57,1991.24923378588,3312
92.58,1991.52981947731,3327.99999999998
92.59,1991.74617195616,3328
92.6,1991.98456830324,3328
92.61,1992.43781717251,3328
92.62,1992.93332261434,3328
92.63,1993.33713994712,3328
92.64,1994.29464036776,3328
92.65,1995.12172931831,3328
92.66,1996.15228049769,3328
92.67,1997.24166228153,3328
92.68,1998.40759441587,3339.59999999997
92.69,1999.91460087047,3339.6
92.7,2001.18178408825,3339.6
92.71,2002.56467823955,3339.6
92.72,2003.86242290359,3339.6
92.73,2005.14397146108,3339.6
92.74,2006.53813357322,3339.6
92.75,2007.78729659615,3339.6
92.76,2009.24998735218,3339.6
92.77,2010.56367222297,3339.6
92.78,2012.03199674475,3368.59999999996
92.79,2013.2848344222,3368.6
92.8,2014.67517603722,3368.6
92.81,2016.26261531218,3368.6
92.82,2017.70237992893,3368.6
92.83,2019.02599035847,3368.6
92.84,2020.54971233163,3368.6
92.85,2021.756528549,3368.6
92.86,2023.12595412063,3368.6
92.87,2024.70820273992,3368.6
92.88,2025.94494921953,3513.79999999979
