Time,KW_regen
1.68,-1.22221091807511
1.69,-1.2222108328151
1.7,-1.22221074613189
1.71,-1.22221065790275
1.72,-1.22221056857128
1.73,-1.22221047756783
1.74,-1.22221038469366
1.75,-1.22221028984275
1.76,-1.22221019318831
1.77,-1.22221009534602
1.78,-1.22220999581701
1.79,-1.22220989455203
1.8,-1.22220979234396
1.81,-1.22220968958714
1.82,-1.22220958638773
1.83,-1.22220948276404
1.84,-1.22220937898407
1.85,-1.22220927567226
1.86,-1.22220917239264
1.87,-1.22220906882368
1.88,-1.2222089648871
1.89,-1.22220885999433
1.9,-1.22220875229835
1.91,-1.22220864063466
1.92,-1.22220852406709
1.93,-1.2222084029938
1.94,-1.22220827762048
1.95,-1.22220814800641
1.96,-1.22220801381633
1.97,-1.22220787425704
1.98,-1.22220772988939
1.99,-1.22220758186237
2,-1.22220776625734
2.01,-1.22220761690137
2.02,-1.22220746781036
2.03,-1.22220731871503
2.04,-1.22220717035337
2.05,-1.22220702271011
2.06,-1.22220687529413
2.07,-1.22220672836695
2.08,-1.22220658159118
2.09,-1.22220643440226
2.1,-1.22220628276826
2.11,-1.22220612411448
2.12,-1.22220595817331
2.13,-1.2222057843383
2.14,-1.22220560310551
2.15,-1.2222054143774
2.16,-1.22220521741428
2.17,-1.22220501240825
2.18,-1.22220479885064
2.19,-1.22220457790183
2.2,-1.22220435170861
2.21,-1.22220412050776
2.22,-1.22220388477391
2.23,-1.22220364410817
2.24,-1.22220339919759
2.25,-1.222203150188
2.26,-1.22220289620906
2.27,-1.22220263753588
2.28,-1.22220237379451
2.29,-1.22220210488886
2.3,-1.22220182916416
2.31,-1.22220154643732
2.32,-1.22220125573937
2.33,-1.22220095637754
2.34,-1.22220064849988
2.35,-1.22220033273883
2.36,-1.22220000829764
2.37,-1.22219967511789
2.38,-1.22219933367288
2.39,-1.22219898287394
2.4,-1.22219862083055
2.41,-1.22219824669321
2.42,-1.22219786016057
2.43,-1.22219746080072
2.44,-1.22219704839282
2.45,-1.22219662269553
2.46,-1.22219618333896
2.47,-1.2221957302704
2.48,-1.2221952632292
2.49,-1.22219478302244
2.5,-1.22219429351519
2.51,-1.2221937964837
2.52,-1.22219329242036
2.53,-1.22219278079254
2.54,-1.22219226071155
