Time,Vdc
37.24,539.95834352493
37.25,539.838955555433
37.26,539.814949630046
37.27,539.824649254102
37.28,539.914300740471
37.29,539.941078731602
37.3,539.892103409931
37.31,539.934483687198
37.32,539.901257192544
37.33,539.662572156069
37.34,539.90471804047
37.35,539.898269134586
37.36,539.934559045369
37.37,539.789641096671
37.38,539.896115665129
37.39,539.899396412715
37.4,539.865638250808
37.41,539.745450897686
37.42,539.944273371456
37.43,539.935150855855
37.44,539.823212407945
37.45,539.77751047339
37.46,539.860031348501
37.47,539.855966249778
37.48,539.834607935916
37.49,539.700910807372
37.5,539.938082612825
37.51,539.683482695114
37.52,539.865222022344
37.53,539.860738569744
37.54,539.778380609811
37.55,539.955522975283
37.56,539.851744314005
37.57,539.808191919246
37.58,539.936583501775
37.59,539.936649281962
37.6,539.915034572122
37.61,539.812981539783
37.62,539.879192753142
37.63,540.005314401111
37.64,540.015927164949
37.65,539.863519746177
37.66,539.980767262603
37.67,539.867161679262
37.68,539.944854151212
37.69,539.985868521999
37.7,539.998098088377
37.71,539.937499713581
37.72,539.902382334738
37.73,539.917048572711
37.74,539.974390071995
37.75,540.06419202003
37.76,540.021224864126
37.77,540.140894503632
37.78,540.12075802495
37.79,540.052717534749
37.8,540.088306095987
37.81,540.126592783676
37.82,540.101048797441
37.83,540.071127820232
37.84,540.164051384234
37.85,540.14440789076
37.86,540.199701631815
37.87,540.13455803891
37.88,540.234526547295
37.89,540.092063159607
37.9,540.200660384713
37.91,540.250118729433
37.92,540.159302148649
37.93,540.141117901694
37.94,540.261589086371
37.95,540.182452129255
37.96,540.224621325644
37.97,540.116038630059
37.98,540.16712168056
37.99,540.159601370865
38,540.177329337399
38.01,540.161729407059
38.02,540.174331833307
38.03,540.362312062571
38.04,540.22429840831
38.05,540.247379234059
38.06,540.149789114718
38.07,540.128317898316
38.08,540.100328938835
38.09,540.181891322869
38.1,540.171868920006
38.11,540.07352535768
38.12,540.211810632272
38.13,540.082654969648
38.14,540.148096025315
38.15,540.361717445258
38.16,540.175030865935
38.17,540.149301975317
38.18,540.152057555866
38.19,540.170820459623
38.2,540.203208405356
38.21,540.143405654606
38.22,540.193748702852
38.23,540.12389767291
38.24,540.122044293914
38.25,540.231106365057
38.26,540.194534713714
38.27,540.212910499265
38.28,540.143017642333
38.29,540.154474543899
38.3,540.156649252498
38.31,540.117923613826
38.32,540.212757025394
38.33,540.143817201443
38.34,540.098399677782
38.35,540.157207324142
38.36,540.134455246201
38.37,540.136197146748
38.38,540.149300026013
38.39,540.200814070411
38.4,540.19399547126
38.41,540.195294232217
38.42,540.197936938452
38.43,540.315432044609
38.44,540.197298833374
38.45,540.206280138953
38.46,540.17652048735
38.47,540.202310187015
38.48,540.264133470204
38.49,540.255459059649
38.5,540.176511688088
38.51,540.142140049398
38.52,540.166007860375
38.53,540.141889862971
38.54,540.195895004769
38.55,540.173094167409
38.56,540.094143392504
38.57,540.160843159432
38.58,540.166934769714
38.59,540.207851976063
38.6,540.124144587069
38.61,540.073486838564
38.62,540.131859487557
38.63,540.11881632117
38.64,540.066112102438
38.65,540.122269381074
38.66,540.170956998906
38.67,540.135716080467
38.68,540.127789157919
38.69,540.206118721797
38.7,540.146661563548
38.71,540.201592927101
38.72,540.152577263401
38.73,540.184540377389
38.74,540.129738098962
38.75,540.32843664405
38.76,540.148043570838
38.77,540.204051955031
38.78,540.166010486807
38.79,540.17054178217
38.8,540.170536926914
38.81,540.18265801386
38.82,540.118404866934
38.83,540.10527721727
38.84,540.134188440113
38.85,540.133881483632
38.86,540.127033821966
38.87,540.078120015692
38.88,540.099512480998
38.89,540.112475275612
38.9,540.139475502357
38.91,540.096131706728
38.92,540.089358429535
38.93,540.092500166896
38.94,540.10685623697
38.95,540.083879688175
38.96,540.111560540851
38.97,540.119669835734
38.98,540.126147379953
38.99,540.116953227002
39,540.098337014851
39.01,540.049293669181
39.02,540.077315131711
39.03,540.098941822759
39.04,540.089294221667
39.05,540.093270158217
39.06,540.054533338753
39.07,540.028890111937
39.08,540.048265704513
39.09,540.06458874698
39.1,540.021546733231
39.11,540.031689212387
39.12,540.056179234119
39.13,540.060490900845
39.14,540.0392773394
39.15,540.04709071169
39.16,539.97781218868
39.17,540.031941514672
39.18,540.00420108519
39.19,540.068825129667
39.2,540.060247261783
39.21,540.014332199903
39.22,540.034710097162
39.23,540.042562499161
39.24,540.046587337535
39.25,539.953096499977
39.26,540.049159316411
39.27,540.047739661506
39.28,540.02589797789
39.29,540.065680666669
39.3,540.012805842094
39.31,539.988739066226
39.32,540.054797202493
39.33,540.057053647626
39.34,540.043629081394
39.35,540.036768386634
39.36,540.036840813079
39.37,540.03056591174
39.38,540.039645504961
39.39,540.028921842773
39.4,539.989133721822
39.41,540.004153646877
39.42,540.0024869897
39.43,540.020880655821
39.44,540.023230342272
39.45,540.045134782065
39.46,540.018972694979
39.47,540.021796867645
39.48,540.030387099212
39.49,540.068633488863
39.5,540.011458859787
39.51,540.078446028685
39.52,540.0119649895
39.53,539.9622669593
39.54,540.038560706045
39.55,540.094933158039
39.56,540.026659496267
39.57,540.031694355245
39.58,540.021516193116
39.59,540.044790117908
39.6,540.033627981473
39.61,540.016622061668
39.62,540.065462233024
39.63,540.051596669064
39.64,540.002326981169
39.65,540.001947641851
39.66,540.018456353386
39.67,539.99632128844
39.68,540.045385376134
39.69,539.983429557301
39.7,540.014175745023
39.71,540.03042741051
39.72,540.056787848603
39.73,539.982198816093
39.74,539.973537266668
39.75,540.016992076061
39.76,540.040104958305
39.77,540.049980014462
39.78,540.017696190374
39.79,540.035367340225
39.8,540.06226075136
39.81,540.042900800333
39.82,540.049355210302
39.83,540.056621563041
39.84,540.041156674295
39.85,540.076521084723
39.86,540.03340763661
39.87,540.031448011274
39.88,540.028690376377
39.89,540.019099102086
39.9,540.023117139202
39.91,540.063202074496
39.92,540.031046625423
39.93,540.064563670174
39.94,540.00593907673
39.95,540.021653482313
39.96,540.024152363417
39.97,540.052616655761
39.98,540.034265222524
39.99,540.039826913342
40,540.017252795656
40.01,540.08215104938
40.02,540.0413808626
40.03,540.046452120618
40.04,540.054003298959
40.05,540.063174357907
40.06,540.063631596125
40.07,540.072086190035
40.08,540.059620464924
40.09,540.106319248348
40.1,540.063286421661
40.11,540.01404831509
40.12,540.032033537813
40.13,540.047261552041
40.14,540.060522837916
40.15,540.044010506012
40.16,540.031167562357
40.17,540.017474830511
40.18,540.045485537754
40.19,540.070856844946
40.2,540.072664488586
40.21,540.023467462011
40.22,540.032395770938
40.23,540.092089078576
40.24,540.078789424789
40.25,540.057156374584
40.26,540.038700253148
40.27,540.066743255735
40.28,540.008801323179
40.29,540.042474955314
40.3,540.056625726647
40.31,540.049604597234
40.32,540.002441461356
40.33,539.998703374353
40.34,540.051103780277
40.35,540.032591049873
40.36,540.068786269347
40.37,540.032793769313
40.38,540.060670317148
40.39,540.071104413757
40.4,540.050339137442
40.41,540.065386841884
40.42,540.052587118929
40.43,540.054365617331
40.44,540.045825478323
40.45,540.081817917264
40.46,540.028908052033
40.47,540.044358466823
40.48,540.069676540264
40.49,540.09299481013
40.5,540.074299988892
40.51,540.059671816187
40.52,540.065130371063
40.53,540.037532788661
40.54,540.097440199866
40.55,540.112277389945
40.56,540.106694648899
40.57,540.061455922425
40.58,540.043173363699
40.59,540.065628552054
40.6,540.048298502146
40.61,540.090204242795
40.62,540.102647077021
40.63,540.092365495065
40.64,540.057599537485
40.65,540.047862589001
40.66,540.08713724016
40.67,540.098426851151
40.68,540.079272319117
40.69,540.082057131693
40.7,540.030917834507
40.71,540.093799371777
40.72,540.068219635069
40.73,540.061381378462
40.74,540.071494504309
40.75,540.098969287866
40.76,540.074301274148
40.77,540.068760358829
40.78,540.092471849498
40.79,540.08287637172
40.8,540.060552205796
40.81,540.080059626558
40.82,540.036509985215
40.83,540.037493427216
40.84,540.071848924258
40.85,540.103232015177
40.86,540.052934367324
40.87,540.030561964437
40.88,540.082498213989
40.89,540.088347702448
40.9,540.034351378983
40.91,540.048419211208
40.92,540.074512613166
40.93,540.109147731401
40.94,540.088276647302
40.95,540.100368617035
40.96,540.021624809259
40.97,540.070416148727
40.98,540.048377104592
40.99,540.091457824559
41,540.084193781423
41.01,540.054424833109
41.02,540.0712763979
41.03,540.082054940013
41.04,540.083808001356
41.05,540.064923947539
41.06,540.06008006401
41.07,540.094803898175
41.08,540.086613205066
41.09,540.065299881434
41.1,539.990818352738
41.11,540.006974478592
41.12,540.04891354074
41.13,540.05274424836
41.14,540.087066269088
41.15,540.057102177361
41.16,540.068616632054
41.17,540.074111936418
41.18,539.991814652885
41.19,540.015284056031
